,content,label
18,@leefitz_ @sdublincoco Like a lot of things in @sdublincoco there is no joined up thinking. The Public Realm Dept is poorly resourced by a CEO who has no interest in #NaturalLinkages #Biodiversity #Sustainability &amp; #amenities He has gutted the Parks Dept and we all suffer🚶🚲👨‍🦯👨‍🦼,Negative
19,UK’s teachers and civil servants join mass strike #RenewableEnergy #EnergyTrends #Environment #NationalEnergy #EnergyNews [Video] dlvr.it/ShpG2K,Positive
20,"“Honoring Veterans” 
Welcome to IoT Coffee Talk🎙️26 where we chat about #Digital #Futurist #Tech #IIoT #Automation #IoT #DigitalTwins #Edge #IoTPL #IoTCL #Cloud #DigitalTransformation #5G #AI #Data #Industry40 &amp; #Sustainability over a cup of robtiffany.com/honoring-veter…",Neutral
21,"A conversation about #DEI (diversity, equity, and inclusion) on The Peggy Smedley Show. #TPSS #IoT #sustainability #futureofwork #AI #5G #cloud #edge #circular #digitaltransformation #PeggySmedley #DEI #podcast peggysmedleyshow.com/the-future-and… https://t.co/xMcshOw8Cw",Neutral
22,"Another Win for Renewables.

#svenvanzanten #solar #renewables #climatechange #sustainability #Environment #Energy #CleanEnergy #electricity #solarenergy #SolarPower #energietransitie #zonnepanelen #klimaat #Nederland",Positive
23,in the words of an old man https://t.co/cDntSHoD0K #ClimateChange #SaveTheWorld ClimateAction #Unsigned,Neutral
24,Climate change: Integrate natural cooling through trees - The Seattle Times dlvr.it/ShpFV1 #ClimateChange,Positive
25,"Adventure Scientists is #hiring a #Forest Specialist! Apply through our website, send questions to projectcreation@adventurescientists.org  🌲🌳🌴
Thanks @gfoi_forest for sharing!
#SDGs #conservation #Jobs #ecology #timber #Sustainability #USFS #wildfires #foresthealth",Neutral
26,Every dollar donated plants a tree with One Tree Planted. #Plantatree @TP_Greece @Teleperformance  #Proud2beTP  #Plantatree #environment,Positive
27,@TP_Greece @onetreeplanted Every dollar donated plants a tree with One Tree Planted. #Plantatree @TP_Greece @Teleperformance  #Proud2beTP  #Plantatree #environment,Positive
28,@Teleperformance @onetreeplanted Every dollar donated plants a tree with One Tree Planted. #Plantatree @TP_Greece @Teleperformance  #Proud2beTP  #Plantatree #environment,Positive
29,"This month our team is doing the Aotearoa Bike Challenge! lovetoride.net/nz

We encourage you to also join the challenge. With some great prizes up for grabs, who knows you might even win something!
#team #environment #cycling #reduceemissions https://t.co/yoCn672l6s",Neutral
30,"The climate crisis affects youth's mental health, with 59% extremely worried about it and 45% saying it negatively impacts their everyday life. Today’s young people are trying to get our attention about #climatechange. Are we listening? 🤔 #StompOutCarbon knowledgeworks.org/resources/fore…",Neutral
31,Every dollar donated plants a tree with One Tree Planted. #Plantatree @TP_Greece @Teleperformance  #Proud2beTP  #Plantatree #environment,Positive
32,"I found recent research on the reasons why customers prefer sustainable brands. 

That's insightful to track differences in the US and the UK audiences. 
#Sustainability #Marketing #SustainableDevelopment 
#Branding #ESG https://t.co/Ca2XF0GUlH",Neutral
33,"@larsroobol @suzanne_GL 🦗?
Niets tegen #renewables maar weet ze wel dat die veel meer gevoelig zijn voor #ClimateChange ?
""Large “renewable” energy installations are easily damaged by freak storms and also incapacitated by changing weather patterns.""
#TweetAlsDeAntiKernBeweging
researchgate.net/publication/33… https://t.co/7CB3rLqPLf",Negative
34,💔#govegan #rainforest #ClimateCrisis #earth #EndSpeciesism #Ecosystem #climateactivists #climatechange #eggs #environmentalactivists #Animalactivists #ClimateCrisis #earthactivist #ocean #peterkalmus #georgemonbiot #JaneFonda #metoo #animalstoo #MenToo #Feminist #Feminism,Neutral
35,.@raratan returns to The Peggy Smedley Show to talk about listener questions about the Proteus effect. #TPSS #IoT #AI #5G #cloud #digitaltransformation #sustainability #futureofwork #podcast peggysmedleyshow.com/unpacking-the-… https://t.co/WlNiBvoNtd,Neutral
36,Sustainability is not only good for the environment; it's also good for your bottom line. #sustainability #assetmanagement bit.ly/AmReduceCosts,Positive
37,Scientists consider moving species as a last resort amid climate ... - PBS NewsHour dlvr.it/ShpDwz #ClimateChange,Neutral
38,"@intelhpc puts sustainability front-and-center during a major product launch, touting the #sustainability of its fourth-generation #Xeon Scalable processors. ow.ly/7ozu50MrhAk https://t.co/5m0rlsLPxx",Neutral
39,"Keep up to date by signing up for our newsletter here: water4mercy.org

#newsletter #farming #water4mercy #sustainability #africa https://t.co/ytfvWQKOvy",Neutral
40,"Wednesday Thought: Is sustainability science interdisciplinary, multidisciplinary, or transdisciplinary domain? 
@ShwetaEco @IndustrialEco @CO2Ecosystems @PurdueABE @PurdueAg @PurdueEngineers 
@IndustrialEcho 
#Sustainability #SustainableDevelopment #ecology",Neutral
41,💔#govegan #BETHEIRVOICE #rainforest #ClimateCrisis #earth #EndSpeciesism #Ecosystem #climateactivists #climatechange #environmentalactivists #Animalactivists #ClimateCrisis #earthactivist #ocean #georgemonbiot #JaneFonda #Feminismo #metoo #animalstoo #MenToo #Feminist #Feminism,Neutral
42,"Use public transportation. 🚌🚊

🚍 Choose reducing traffic and air congestion for a more carefree commute. 

👉 Here’s a simple 2-step process: stayattache.com/blog/use-publi…

#StaySmiling #StaySustainable #StayAttache

#sustainability #corporatehousing #publictransportation #futureyou https://t.co/APvSOsgBVU",Positive
43,Is there room for big tech and digital solutions in conservation or climate action? Critics say most of it amounts to greenwashing at best and must ensure biodiversity instead. What do you think? #ESG #Sustainability #cdwsocial dy.si/qXWw5 https://t.co/Vf5t7LWB6r,Positive
44,Yu-Han Chang @idtechex joins me to talk about #6G on The Peggy Smedley Show. #TPSS #IoT #AI #5G #cloud #edge #digitaltransformation #sustainability #futureofwork #PeggySmedley #podcast peggysmedleyshow.com/whats-ahead-fo… https://t.co/10ccbfV1YH,Neutral
45,@MOPHQatar These partnerships that will improve #ClimateAction and Climate Education are critical in the process of saving the planet and protecting the #environment.,Positive
46,WEF and Indonesia Join Hand to Boost Blue Carbon Credits dlvr.it/ShpDbv #ClimateChange https://t.co/T2Hc7Nmmmz,Positive
47,💚🌎🌱#climatechange #BETHEIRVOICE #earth #EndSpeciesism #ecosystem #vegan #climateactivists #environmentalactivists #ClimateCrisis #earthactivist #peterkalmus #georgemonbiot #JaneFonda #Feminismo #metoo #animalstoo #MenToo #Feminist #Feminism,Neutral
48,"DeSantis sticks it to the environmentalists.
 
 #climatechange #coal #Democrats #DepartmentofEnergy #energy #Florida #GasPrices #JoeBiden #Oil #Republicans #RonDeSantis #USnews westernjournal.com/ron-desantis-p…",Neutral
49,#Listen to #Wednesday's episode of #TheClimateDaily! It's a quick roundup of #news stories featuring #people and #organizations taking action to #combat #climatechange and delivered to you in under eight minutes! https://t.co/HFIHd4kxst,Positive
50,"Make use of reusable containers for storing food, not disposables 

#wastywealth #wastemanagement #tipsandtricks #sustainability https://t.co/pJkUZNzBtC",Positive
51,#BETHEIRVOICE #earth #EndSpeciesism #Ecosystem #fox #furismurder #savefox #vegan #climatechange #climateactivists #environmentalactivists #RelistWolves #ClimateCrisis #earthactivist #peterkalmus #georgemonbiot #JaneFonda #Feminismo #metoo #animalstoo #MenToo #Feminist #Feminism,Neutral
52,"@asiancenturyins writes that differences between the #US and #China is adversely impacting #mutualcollaboration on #globalissues such as #climatechange, #pandemics and #financialcrises.

#Chinapolicy #foreignpolicy #foreignaffairs 

unravel.ink/americas-china…",Neutral
53,#Solutions for the #NorthSeaRegion during #climatechange - What an impressive kick-off of the #EU #BlueTransition #research project with 24 partners to discuss strategies for #sustainable #groundwater &amp; #soil management in 16 pilots! @NorthSeaRegion #ERDF t.ly/ws-s https://t.co/vM1Rl7eXHz,Positive
54,#BETHEIRVOICE #earth #EndSpeciesism #Ecosystem #fox #furismurder #savefox #vegan #climatechange #climateactivists #environmentalactivists #RelistWolves #ClimateCrisis #earthactivist #peterkalmus #georgemonbiot #JaneFonda #Feminismo #metoo #animalstoo #MenToo #Feminist #Feminism,Neutral
55,"SE CSTEM Mural Ss brainstorming, and sketching ideas. #awesomekiddos #Climatechange #TechtoTheRescue https://t.co/kb15WJuJmV",Neutral
56,"They scared you with #COVID19, #climatechange, #Trump, #Whitesupremecy, #Racism, #oppression, #wagegap, #losingourdemocracy, #Russia &amp; #Ukraine and #WW3.
When will you realize that the #American Govt is your problem? #facts
#women #Biden #LGBTQ",Neutral
57,Climate Change Gets a Funny New Streaming Show - Financial Post dlvr.it/ShpDDs #ClimateChange,Positive
58,#BanWildlifeKillingContestsinNYState #BanWildlifeKillingContests #BETHEIRVOICE  #earth #EndSpeciesism #Ecosystem #climatechange #climateactivists #environmentalactivists #RelistWolves #ClimateCrisis  #earthactivist #peterkalmus #georgemonbiot #JaneFonda #metoo #animalstoo #MenToo,Neutral
59,"Big Night’ for Newts, and for a California Newt Brigade — Salamanders get a little help across the road from some two-legged friends in Northern California. [Petaluma]

bocvip.com/300984/big-nig…

#Environment https://t.co/tAR25wHvou",Neutral
60,AI Says Global Warming Is Happening Much Faster Than We Thought #Climate #ClimateChange #ClimateEmergency #ClimateCrisis #ClimateAction [Video] dlvr.it/ShpD5n,Negative
61,"@straits_times Malaysian fish markets are for profit only. They don’t care about #Sustainability as bad fishing practices have gone worse via e-commerce. The greed applies across Asia 🇮🇩🇵🇭🇹🇭🇯🇵🇰🇷, etc. How to find sustainable organic produce? #bestpractices #overfishing #fishinglife #farming 🍱",Neutral
62,"When it comes to #AGW #ClimateChange and #GlobalTemperatures .. stated several years ago that eventually will be an increase in the two month consecutive drops and get a three month drop

I stated to #alarmists that this would eventually increase 

Well we just had three https://t.co/aT1X6whZ4Q",Negative
63,"In #Pennsylvania, a New Administration Fuels Hopes for Tougher Rules on #Energy, #Environment. After 12 years of #Republican control in the state, the election of Gov. Josh Shapiro represents a sea change. insideclimatenews.us2.list-manage.com/track/click?u=…",Negative
64,My 1st grader’s homework. 😂😂 #1stgrader #groundhogsday #globalwarming #climatechange https://t.co/TNi0GovJia,Neutral
65,Is climate change to blame for the extreme cold? Researchers say there could be a connection. - The Boston Globe dlvr.it/ShpCkc #ClimateChange,Negative
66,#ClimateChange #GlobalWarming https://t.co/n49aXSfmq1,Neutral
67,"Case regarding California Clean Air Act waiver may end up in Supreme Court, environmental lawyers say eenews.net/articles/scotu… 

#CleanAirAct  #SupremeCourt  #SCOTUS  #Environment",Neutral
68,"ICYMI: Check out last weeks episode where we launch our ""The End of This World"" book club and chat about a terrifying foray into geoengineering

#ClimateChange

greenmajority.ca/the-podcast/20… https://t.co/T25bTioYcF",Neutral
69,"What a glorious review from @MandyStefanakis of Nigel Westlake's beautiful score for Tim Winton's book 'Blueback' in this edition of @LoudmouthTrust. #AustralianMusic #ClimateChange 
musictrust.com.au/loudmouth/blue…",Neutral
70,"ICYMI: Check out last weeks episode where we launch our ""The End of This World"" book club and chat about a terrifying foray into geoengineering

#ClimateChange

greenmajority.ca/the-podcast/20… https://t.co/KDPI0VcFVW",Neutral
71,"Try our Valentine's wheel and get a discount on your next purchase! You can get up to 20% off!

ReviveGlassworks.com

#reviveglassworks #repurposedglass  #valentinesday2023  #madeonmaui  #repurposed #recycle #recycledglass #sustainableliving #sustainability #ecofriendly #eco https://t.co/PeOtvGKBTm",Neutral
72,AnthropoceneDAO.com »Samsung’s Everyday Sustainability Philosophy Embodied In The New Galaxy S23« forbes.com/sites/carolina… #Anthropocene #DAO 道 #Sustainability #Science #Innovation #Technology,Neutral
73,"$UCOIL Wow! This is fantastic news! Can't wait to see what you have in store for us at #TheHiVe. #Sustainability and #Web3 are such important topics and it's great to see them being addressed through an IRL event. Count with these UCO Network ""bees"" in! 
$VET

@im_dimneo",Positive
74,youtu.be/x4HMaa2YNpw #suskui #climatechange #clateman  #malarkeyenterprises @elonmusk @realDonaldTrump,Neutral
75,"【アメリカ】JUST Capital、Most JUST Companies 2023ランキング発表。首位BofA
ow.ly/84Ih50MHlt6 #ESG #Sustainability #SDGs",Neutral
76,"SFPA, NE Lumber Manufacturers Association, @WWPIinfo, Western Wood Products Association, and @RealCedar all in one place at the @NAHBhome #IBS2023 @ThinkWood booth! 

#forestproducts #lumber #southernpine #sustainability #sustainableconstruction #wood #pine #forestproducts https://t.co/Mwq2nQTBGh",Neutral
77,"Please join Shasta Gaughen and Micheal Durglo Jr. on February 8, 2023 for the White House Council on Native American Affairs’ Indigenous Climate Speaker Series. Register now: eventbrite.com/e/cultural-res…
#climatechange #indigenousenvironmentaljustice #tribalcommunities https://t.co/epgiiukwKj",Neutral
78,"“5G &amp; IoT” 
Welcome to IoT Coffee Talk🎙️17 where we chat about #Digital #Futurist #Tech #IIoT #Automation #IoT #DigitalTwins #Edge #IoTPL #IoTCL #Cloud #DigitalTransformation #5G #AI #Data #Industry40 &amp; #Sustainability over a cup of coffee. robtiffany.com/5g-iot/?utm_so…",Neutral
79,"""After existing for millennia""

 One needs a timescale to grasp the magnitude of #climatechange

""Nestled between the snowy ranges of Mount Rainier and Glacier Peak, a significant glacier in Washington state has disappeared after existing... for millennia""
cnn.com/2023/02/01/us/…",Positive
80,"Are you wondering if the recent wild weather 🌩️ was caused by #ClimateChange? Want to learn more about the science? Check out our webpage 👀
epa.gov/climatechange-… https://t.co/hTAUaHiflN",Negative
81,"Large glacier near Seattle has ""completely disappeared.""

cnn.com/2023/02/01/us/… #ClimateCrisis #ClimateEmergency #ClimateChange",Negative
82,"What is the link between #Singapore history as a ""crisis ecology"" and our experience of #ClimateChange? Through the lens of the #Anthropocene, Asst Professor #JoshuaComaroff explores this tomorrow. 

Find out more: soh.school/SS-Comaroff #NTUHumanities #EnvHum #SGStudies https://t.co/4kzazFPIWe",Negative
83,"9/ That's why we wrote to the @federalreserve urging them to to take swifter action on #ClimateChange by:

✅Introducing policies to penalize fossil fuel lending.
✅Improving guidelines for banks' management of 
      climate risks.
✅Implementing a green lending scheme. https://t.co/EO7W98wCEi",Positive
84,"Just read David Gurin’s “Understanding Sprawl: A Citizens’s Guide”. By the time I was finished, I’d given up the notion of suburban retirement.  #sprawl  #sustainability #somuchforthat",Neutral
85,The left always falls back on the climate crisis: Douglas Murray #EnvironmentallyFriendly #ClimateStrike #ClimateJustice #Environment #EcoFriendly [Video] dlvr.it/ShpBrZ,Negative
86,"Second-life battery storage industry is ready to take off
utilitydive.com/news/responsib…

#CircularEconomy #Battery #batteries #EV #Sustainability",Neutral
87,"All set for #GEEF2023 at @igeeyonsei!🙌

Join us &amp; our CEO @MoFroehler in 1⃣ hour for the opening ceremony &amp; Special Conversation with Co-chairs Ban Ki-moon &amp; Heinz Fischer to discuss #climatechange, #globalcitizenship, #youthempowerment &amp; more!

Watch: youtube.com/watch?v=D0jlag… https://t.co/1Qi7cpW70q",Neutral
88,@GovTimWalz #ClimateChange is a #HOAX! 👇🏽 quit the nonsense and fear mongering! https://t.co/sCLsb3uMK3,Neutral
89,"I actually watched a #BBC prog tonight, 'The Magical World of Moss'. No cocaine-snorting supermodels, no tokenism or other wokeness, it even used the term '#ClimateChange' correctly. One minor gripe - it showed a mock-up of a #GlacierMouse where time-lapse photography was needed.",Neutral
90,"Nice Work Amazon!

via MarketWatch

 #amazon #cleanenergy #sustainability #technology #investments #energy #actonclimate #netzero #renewables #purchases #futureishere lnkd.in/ehcaw8Bb",Neutral
91,Price of Ellicott City flood prevention project balloons to $130 million dlvr.it/ShpBJR #ClimateChange https://t.co/YDQ9E784bI,Positive
92,"WRAP, the #ClimateAction NGO behind #LoveFoodHateWaste, has announced plans for the 3rd annual Food Waste Action Week (FWAW) – the UK’s largest food waste behaviour change campaign

#FoodWaste #FoodWasteCampaign #Sustainability #ClimateCampaign ethicalhour.com/charities-ngos…",Positive
93,"#Climatechange is a big risk for low income countries.

Watch Olga Chepelianskaia, Galit Palzur and Samson Samuel Ogallah @ #KigaliGlobalDialogue

@ORF_CNED @orfonline @ORFAmerica

youtu.be/gCKu6csmaAU",Neutral
94,"'Manufacturing doubt erodes public support for climate action.'

It's odd that some people choose not to listen to climate scientists about climate science and instead go to YouTube 

#ClimateChange
#ClimateAction 

theguardian.com/environment/co…",Neutral
95,Excited to be in New Orleans for the opening night of #CattleCon23! @AgSights is pleased to be able to connect with collaborators and showcase how the brand new bioTrack Plus can help ranchers make data driven decisions for the #profitability and #sustainability of their herd! https://t.co/y1T3hPIVfB,Neutral
96,"NASA’s #SWOTSatellite will transform how Earth’s water is monitored, unlocking new possibilities for understanding #climatechange. Hear from @Stantec leader Jamil Ibrahim about our plans for the mission’s data. ow.ly/53y750M7Kh9 pbynd.co/pf2dd",Positive
97,like the sound of a cold wind https://t.co/cDntSHoD0K #ClimateChange #SaveTheWorld #ClimateAction #ClimateChange,Neutral
98,"@AssaadRazzouk @SCastelier Electricity is generated by carbon or nuclear

Even plants transform sunlight into carbon, a higher more efficient form of energy

The planet is cooling ... big time 

#ClimateChange is a woke cult (disaster)

electroverse.co/snowy-india-su…",Positive
99,Variable Speed technology enables you to meet your cooling &amp; #Sustainability goals. Explore the Uniflairs indirect free cooling with variable speed driven technology delivers up to 150kW of cooling while saving you power and reduces your carbon footprint. spr.ly/601635Tes https://t.co/yU3nmVQXnF,Positive
100,Variable Speed technology enables you to meet your cooling &amp; #Sustainability goals. Explore the Uniflairs indirect free cooling with variable speed driven technology delivers up to 150kW of cooling while saving you power and reduces your carbon footprint. spr.ly/601335TeU https://t.co/IjljKPc2Ca,Positive
101,"Construction of Finland's first green hydrogen plant begins! ""Once completed in 2024, P2X Solutions’ plant will open the market for Finnish green hydrogen."", Esa Harmala, the company’s chairman stated. ✨

#greenenergy #climatechange #sustainability #hydrogenenergy https://t.co/oBuWRxPKq2",Positive
102,".@UNESCO marine #WorldHeritage sites are a refuge for over 35% of the world’s @IUCN Red-listed vulnerable &amp; endangered marine species.

e-DNA research will help predict the impact of #ClimateChange on species diversity.

Learn more: on.unesco.org/3n4qZLG https://t.co/1DQolSlHGp",Positive
103,"In this episode, H2Tech speaks with attendees of the Dii Desert Energy Leadership Conference in Cairo, Egypt, about green H2 projects and regulatory frameworks in the Middle East and North Africa region.

Listen Now: ow.ly/hP6Z50MH78f
#H2 #sustainability
#infrastructure https://t.co/MzrnThQEw0",Neutral
104,"We are committed to reducing our impact on the #environment. 

Learn about the sustainable practices we implement in our #delivery process:
Email: info@expresserrandsofjax.com
Website: expresserrandsandcourier.com
Phone: 877-983-3548

#courierservice #sustainability #greendelivery https://t.co/xizEwImQ4b",Positive
105,"[INTERVIEW] Milou DIRKX: «Journalists can hold powerful people accountabable» youtu.be/2v6H3PH9Zm8 via @YouTube 
#future  #Europe  #journalism  #cleanenergy  #society  #media  #climatechange #journalist  #interview  #Brussels #AJBrussels",Neutral
106,"Educators Newsletter #1 of 2023 !
#Science exploration while construction make things “interesting” 🧪🧠🧭🔬

•Gr 3-9: #Online cross curricular A.I. #bacteria, #ClimateChange, &amp; #Classification
•Gr K-2: Self-directed #coding 
•#STEM mentors 
#BCEd
Read: tinyurl.com/22ku3yts https://t.co/Yla5G5PHaQ",Neutral
107,"What impact will new leadership have on the Texas Commission on Environmental Quality?

Get insight on this episode of the Bracewell Environmental Law Monitor: hubs.ly/Q01z64950

#environment #tceq https://t.co/yoNnMlypJY",Neutral
108,Study: Nearly two thirds of consumers refuse to skimp on #sustainability despite cost-of-living pressures businessgreen.com/4066247/ via @businessgreen #ConsciousConsumer,Positive
109,"I am looking forward to attending #distributech2023 this coming week in San Diego. I hope to learn about new and proven solutions for improving #gridreliabilityresiliency, #congestion, hardening, #sustainability, and #decarbonization. 
Last year I had the…lnkd.in/g4kYbPtU",Positive
110,"New Zealand plans to tax agricultural emissions, in world-first plan dlvr.it/Shp9TS #ClimateChange https://t.co/CI3y6ZzSlI",Positive
111,Why necessity is the mother of invention for African farmers. New long-form article about #climatechange from @BillGates: tinyurl.com/43u4kcmc,Positive
112,"🫡👏🌎@Unilever's former CEO Paul Polman demonstrated that #business can #profitthroughpurpose, marrying a #longterm #multistakeholdermodel with #excellentfinancialperformance. Shareholders saw returns grow by 290% from 2009-19 while globally ranked #1st for #sustainability.",Positive
113,"Climate Wednesday: Extreme heat climate and disasters are causing deaths and damages 🌡

#SEEchange #ClimateWednesday #ClimateHeat #Climatechange #Heat https://t.co/sAX3DDs6jk",Negative
114,"#Auckland city needs #stormwater systems fit for climate change, explains @CubaRaglanGuy @ConversationEDU @DrAmitSarwal @EthnicLinkGuru @Pallavi_Aus #AcademicTwitter #climatechange #flooding #NewZealand #environment 

theaustraliatoday.com.au/auckland-city-…",Positive
115,"The interest in #sustainability can lead to many career paths. @UN and intergov’ institutions offer many interesting ones, but alumni showed inspiring examples in public &amp; private sectors, &amp; civil society. The commitment to sustainability can be fulfilled in every career",Positive
116,monopoly reset #sustainability,Positive
117,Dangerous Fungi Are Spreading Across U.S. as Temperatures Rise buff.ly/3YdOaUz #ClimateChange #ClimateCrisis #health,Negative
118,"@healthbyjames No one Dies of #Covid 
Mis or Disinformation whatever they say.

People die of Climate change.
#ClimateScam #climatestrike #Climatechange",Negative
119,"Kicking off February with #SeaWorldSanAntonio’s newest Animal Ambassador, Azul, a hyacinth #macaw. Azul is helping spread awareness about threats the bird species faces including #climatechange and loss of habitat due to deforestation and wildfires. #WeCareWednesday https://t.co/4x039pwWbw",Negative
120,"So there’s suddenly a lot of hype and political support for #GreenHydrogen in #AtlanticCanada. So what is it &amp; how green is it really? CBC does an excellent job of breaking it down in this piece. #climatechange #renewables #cdnpoli #nlpoli #nspoli 
cbc.ca/player/play/21…",Positive
121,"Dangerous Fungi Are Spreading Across U.S. as Temperatures Rise
#environment
#ExxonMobilkillstheEarth

wsj.com/articles/fungi…",Negative
122,Save our planet! Plant a tree for every 1000 likes &amp; retweet to help reduce #climatechange &amp; #CO2 emissions. #UpliftingThePlanet #GoGreen 🌎❤️,Positive
123,Antarctica hasn’t warmed in 70 years despite rising CO2 levels; climate scientists baffled naturalnews.com/2023-02-01-ant… #globalwarming #climatechange #ClimateEmergency #wef #un #antarctica #co2 #sealevel,Negative
124,"Using available resources to cater and meet internal needs is the first step to achieving developmental goals and growth.

Moving forward, Nigeria needs to use its resources (human and natural) first to address the impact of #climatechange and the #sdgs https://t.co/sBhlhzAY8M",Positive
125,"It’s great news that we can now launch info regarding our spring conference on 23rd March @BowhouseFife.

rbst.org.uk/news/rbst-scot…

#GoNative #NativeBreeds #sustainability #livestock #foodchain #biodiversity #farming #carbonstory #economics #marketing #thefuture #NetZero https://t.co/LJfaVN0DwM",Neutral
126,"Solar Power Rocks! — Six Of The Best Ambassadors For Sustainability From Seiko, TAG Heuer, Cartier, And More

 #sustainability #solarpower #watch #seiko #cartier #tagheuer flip.it/dzNOpe",Positive
127,"Replacing #coal power plants across the US &amp; world with new #solar and #wind farms would reduce carbon emissions, require less water AND save money. #RenewableEnergy #ClimateChange
bloomberg.com/news/articles/…",Positive
128,This is part of a new @ULPublichistory course I’m teaching called #CoastinCrisis with students interested in #publichistory #oralhistory #envirohistory #sustainability and #LouisianaHistory. Excited to be working across the coast and with communities as part of the research. https://t.co/ptjTUtafpV,Positive
129,Limit plastic waste by taking #reusable shopping bags with you to the grocery store. #sustainability  cpix.me/a/162942051 https://t.co/NEnVJEMELx,Positive
130,"Tigers in South Africa: a farming industry exists – often for their body parts

bocvip.com/300978/tigers-…

#Environment https://t.co/oogQRCwGhY",Positive
131,"Advancing aviation and reducing our carbon footprint with #zerocarbonflights #hydrogenpoweredplanes #sustainability

youtu.be/vpmuJ0ANRG8 https://t.co/yJVI0wK0Vn",Positive
132,"Leading companies see investments in sustainability, social welfare and good governance as a key part of value creation and risk mitigation. @BainAlerts bit.ly/3m0JNu8 RT @antgrasso #ESG #Sustainability https://t.co/b09lfzN9Ej",Positive
133,Aventon Level.2 First Ride Review: The Bang-For-Buck Bike ift.tt/ixHIp3O #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy,Neutral
134,Joe Biden. The #ClimateChange president exacerbating climate change.,Negative
135,"#climatechange  #itsthesun #magnetosphere
With all the futile money being spent on alternative energy to combat the climate, only to line pockets of the hoaxters, we become poorer and more ignorant.
You're being gaslighted. https://t.co/4XpHkjva4j",Negative
136,Biden Clears the Way for Alaska Oil Project dlvr.it/Shp7nf #ClimateChange https://t.co/3J9PMyeGqU,Positive
